x	y
0.225	0.942
0.253	0.933
0.279	0.926
0.321	0.912
0.349	0.903
0.378	0.895
0.415	0.882
0.444	0.874
0.456	0.869
0.504	0.854
0.539	0.842
0.567	0.832
0.628	0.811
0.651	0.802
0.676	0.793
0.735	0.772
0.757	0.764
0.833	0.736
0.843	0.733
0.863	0.724
0.939	0.694
0.968	0.684
1.004	0.669
1.044	0.654
1.067	0.643
1.081	0.637
1.129	0.615
1.151	0.604
1.169	0.594
1.231	0.565
1.251	0.554
1.273	0.544
1.300	0.530
1.327	0.516
1.357	0.503
1.370	0.494
1.403	0.476
1.428	0.463
1.447	0.454
1.467	0.444
1.500	0.426
1.527	0.412
1.550	0.405
1.583	0.396
1.601	0.393
1.630	0.386
1.655	0.382
1.700	0.377
1.744	0.373
1.800	0.370
1.850	0.369
1.902	0.368
1.953	0.368
2.004	0.369
2.102	0.372
2.204	0.376
2.301	0.380
2.403	0.387
2.500	0.393
2.605	0.401
2.656	0.405
2.753	0.414
2.855	0.424
2.952	0.434
3.001	0.440
3.054	0.445
3.141	0.456
3.206	0.464
3.305	0.476
3.404	0.487
3.504	0.500
3.607	0.511
4.005	0.557
4.505	0.615
5.006	0.673
5.506	0.729
6.004	0.784
6.507	0.841
6.904	0.886
7.002	0.897
7.206	0.920
7.303	0.931
7.403	0.942
7.507	0.952
7.801	0.985
8.000	1.006
